ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.21.194.182","elite","AS13335","CA","Cloudflare, Inc.","82","Cloudflare, Inc.","80","socks5","1991","1","2024-12-26T17:46:52.667Z","100","8662","8663"
"114.235.230.149","elite","AS4134","CN","Chinanet","295","Chinanet JS","44844","socks5","2884","1","2024-12-26T17:46:52.669Z","68","5975","8743"
"149.28.155.28","elite","AS20473","SG","The Constant Company","173","Vultr Holdings, LLC","62963","socks5","3891","1","2024-12-26T17:46:52.765Z","77","6734","8710"
"66.235.200.158","elite","AS13335","US","Cloudflare, Inc.","2","Newfold Digital, Inc","80","socks5","703","1","2024-12-26T17:46:34.359Z","100","1952","1952"
"74.207.251.162","elite","AS63949","US","Akamai Technologies, Inc.","192","Linode","62322","socks5","3700","1","2024-12-26T17:46:34.267Z","99","8528","8623"
"116.99.225.170","elite","AS24086","VN","Viettel Corporation","200","Viettel Group","30014","socks5","3114","89","2024-12-26T17:46:34.369Z","75","1503","1995"
"85.175.185.147","elite","AS12389","RU","PAO Rostelecom","88","OJSC Rostelecom Macroregional Branch South","7788","socks5","1708","1","2024-12-26T17:46:34.371Z","48","864","1787"
"173.249.15.6","elite","AS51167","DE","Contabo GmbH","8","Contabo GmbH","63982","socks5","4700","1","2024-12-26T17:46:14.566Z","100","8628","8668"
"111.172.234.244","elite","AS138982","CN","China Telecom","290","Chinanet HB","23456","socks5","1295","1","2024-12-26T17:45:27.372Z","88","7672","8693"
"178.44.162.208","elite","AS12389","RU","Orenburg branch of OJSC VolgaTelecom","82","OJSC VolgaTelecom","7788","socks5","1919","1","2024-12-26T17:45:27.157Z","67","1192","1789"
"36.92.111.49","elite","AS7713","ID","Telekomunikasi Indonesia","289","Temporary","52471","socks5","3598","1","2024-12-26T17:45:05.073Z","87","1744","2008"
"221.200.220.159","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","172","N/A","1080","socks5","5209","1","2024-12-26T17:45:05.072Z","57","1025","1788"
"80.234.18.185","elite","AS12389","RU","Rostelecom networks","66","JSC VolgaTelecom Samara branch","7788","socks5","800","1","2024-12-26T17:44:39.160Z","45","809","1814"
"178.128.108.212","elite","AS14061","SG","DigitalOcean, LLC","165","Digitalocean","6415","socks5","3301","1","2024-12-26T17:44:39.464Z","90","1660","1835"
"146.19.196.102","elite","AS8849","NG","Melbikomas UAB","163","Melbikomas UAB","40382","socks5","2399","1","2024-12-26T17:44:39.171Z","99","1994","2006"
"1.1.1.18","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks5","71","1","2024-12-26T17:44:39.158Z","100","8715","8715"
"45.131.7.227","elite","AS209242","BZ","Cloudflare London, LLC","10","Inter Networks","80","socks5","2393","1","2024-12-26T17:44:16.272Z","100","1887","1887"
"178.245.138.187","elite","AS16135","TR","Turkcell Internet","64","N/A","3128","socks5","2390","1","2024-12-26T17:44:16.561Z","27","2286","8512"
"103.35.108.206","elite","AS23991","BD","Ranks ITT","291","Ranks ITT Ltd.","23991","socks5","2105","1","2024-12-26T17:44:00.655Z","99","8585","8704"
"39.187.83.37","elite","AS56041","CN","China Mobile Communications Corporation","293","China Mobile","1080","socks5","1271","1","2024-12-26T17:43:35.668Z","23","1975","8619"
"50.116.8.96","elite","AS63949","US","Akamai Technologies, Inc.","136","Linode","17477","socks5","4306","1","2024-12-26T17:43:35.667Z","82","7041","8616"
"200.152.107.104","elite","AS21571","BR","MLS Wireless S/A","200","MLS Projetos de Informatica","1080","socks5","467","1","2024-12-26T17:43:35.856Z","98","8442","8634"
"185.25.119.57","elite","AS200000","UA","Hosting Ukraine LTD","80","new Hosting","7497","socks5","3106","1","2024-12-26T17:43:35.857Z","63","5474","8635"
"43.153.108.126","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","154","Tencent Cloud Computing","443","socks5","3202","1","2024-12-26T17:43:08.055Z","85","7425","8732"
"1.10.183.22","elite","AS23969","TH","TOT Public Company Limited","181","TOT Public Company Limited","8080","socks5","2105","1","2024-12-26T17:42:54.058Z","70","5922","8512"
"187.84.191.2","elite","AS262827","BR","Allrede Telecom","208","Operadora Brasileira De Telecomunicacao E Internet","38392","socks5","1792","1","2024-12-26T17:42:53.656Z","100","1913","1920"
"49.75.17.108","elite","AS4134","CN","Chinanet","283","Chinanet JS","44844","socks5","493","1","2024-12-26T17:42:53.964Z","58","4993","8634"
"34.120.118.219","elite","AS396982","US","Google LLC","2","Google Cloud","2061","socks5","3502","1","2024-12-26T17:42:02.467Z","100","8587","8587"
"101.33.200.32","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","290","Tencent Cloud Computing (Beijing) Co., Ltd","8000","socks5","2599","1","2024-12-26T17:42:02.465Z","86","7339","8582"
"104.24.15.158","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","949","1","2024-12-26T17:42:02.558Z","100","8723","8727"
"109.236.81.20","elite","AS49981","NL","WorldStream B.V.","11","N/A","30738","socks5","740","77","2024-12-26T17:42:02.466Z","96","1805","1876"
"45.77.210.72","elite","AS20473","US","The Constant Company","191","Vultr Holdings, LLC","11874","socks5","224","81","2024-12-26T17:42:02.556Z","79","6812","8654"
"167.71.171.26","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","44550","socks5","763","1","2024-12-26T17:41:47.058Z","32","2775","8640"
"128.199.142.101","elite","AS14061","SG","DigitalOcean, LLC","198","DigitalOcean, LLC","14061","socks5","1415","1","2024-12-26T17:41:47.064Z","99","8535","8632"
"188.40.94.107","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","14503","socks5","2084","1","2024-12-26T17:41:47.361Z","85","7348","8623"
"104.23.107.172","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1298","1","2024-12-26T17:41:47.060Z","100","8701","8703"
"49.70.82.204","elite","AS4134","CN","Chinanet","211","Chinanet JS","44844","socks5","1909","1","2024-12-26T17:41:47.359Z","56","4817","8656"
"51.155.10.0","elite","AS13037","GB","Zen Internet Ltd","24","N/A","8000","socks5","1491","1","2024-12-26T17:41:46.957Z","97","1915","1973"
"31.22.7.188","elite","AS34119","GB","Wildcard Networks","16","I Fastnet Ltd","56981","socks5","3392","1","2024-12-26T17:41:29.855Z","33","2851","8691"
"119.82.226.232","elite","AS24213","ID","Arsen Kusuma Indonesia","163","N/A","7497","socks5","2008","1","2024-12-26T17:41:29.667Z","98","8481","8688"
"185.25.119.98","elite","AS200000","UA","Hosting Ukraine LTD","42","new Hosting","43725","socks5","3804","1","2024-12-26T17:40:55.563Z","100","8538","8544"
"131.72.191.107","elite","AS61740","BR","Telecab Telecomunicações Ltda","197","Telecab Telecomunicações Ltda","1080","socks5","2087","1","2024-12-26T17:40:55.359Z","30","2576","8510"
"8.210.119.213","elite","AS45102","HK","Alibaba.com LLC","312","Hong Kong","3304","socks5","3216","1","2024-12-26T17:40:36.559Z","83","7245","8697"
"222.88.201.225","elite","AS4134","CN","Chinanet","294","Chinanet HA","7302","socks5","591","1","2024-12-26T17:40:36.660Z","88","1606","1819"
"65.21.94.13","elite","AS24940","FI","Hetzner Online GmbH","38","Hetzner","9443","socks5","4698","1","2024-12-26T17:40:36.558Z","100","1939","1939"
"85.2.149.139","elite","AS3303","CH","Swisscom (Schweiz) AG - Bluewin","12","Swisscom (Schweiz) AG","3128","socks5","1494","1","2024-12-26T17:40:36.568Z","100","1973","1974"
"188.92.242.99","elite","AS25227","RU","JSC Avantel","50","Avantel, Close Joint Stock Company","8088","socks5","1095","1","2024-12-26T17:40:24.755Z","100","8690","8713"
"178.63.0.115","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","30510","socks5","546","1","2024-12-26T17:40:24.757Z","82","7047","8646"
"138.197.138.160","elite","AS14061","CA","DigitalOcean, LLC","98","DigitalOcean, LLC","10181","socks5","1402","1","2024-12-26T17:40:24.563Z","100","8743","8750"
"117.86.111.68","elite","AS4134","CN","Chinanet","216","Chinanet JS","1080","socks5","785","1","2024-12-26T17:40:24.666Z","66","5694","8675"
"178.45.156.161","elite","AS12389","RU","Dynamic IP Poools customers in the","63","Branch in Mordovian Republic Open Joint-Stock Company","7788","socks5","278","1","2024-12-26T17:39:49.957Z","65","1174","1795"
"104.19.235.10","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","2705","1","2024-12-26T17:39:29.466Z","100","8658","8659"
"43.153.170.84","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","228","Tencent Cloud Computing","443","socks5","1962","1","2024-12-26T17:39:29.656Z","87","7581","8757"
"125.7.186.16","elite","AS4766","KR","Korea Telecom","231","Haionnet","15512","socks5","1102","2","2024-12-26T17:39:29.655Z","72","1328","1832"
"104.22.14.48","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","3805","1","2024-12-26T17:39:29.659Z","100","8605","8605"
"116.97.1.206","elite","AS7552","VN","Viettel Corporation","200","N/A","4010","socks5","1997","1","2024-12-26T17:39:29.655Z","45","824","1816"
"107.173.185.72","elite","AS36352","US","HostPapa","83","ColoCrossing","80","socks5","1099","1","2024-12-26T17:39:29.557Z","100","8685","8703"
